sep=,
"Region","Family","Source VM","OS","Lifecycle","Current recommendation","Current type","Simple recommendation","Simple outcome","Same target","Source hourly","Current hourly","Simple hourly","Currency","Simple reason"
"uksouth","StandardFasv7Family","Standard_F1as_v7","linux","current","Standard_F1as_v7","KEEP","Standard_F1as_v7","keep","Yes","0.0602","0.0602","0.0602","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardFFamily","Standard_F1","linux","retirementAnnounced","","MANUAL_REVIEW","","no-compatible-replacement","Yes","0.043","","","GBP","No compatible replacement found"
"uksouth","standardFSFamily","Standard_F1s","linux","retirementAnnounced","","MANUAL_REVIEW","","no-compatible-replacement","Yes","0.043","","","GBP","No compatible replacement found"
"uksouth","standardFSv2Family","Standard_F2s_v2","linux","retirementAnnounced","","MANUAL_REVIEW","","no-compatible-replacement","Yes","0.0765","","","GBP","No compatible replacement found"
"uksouth","StandardFXmdsv2Family","Standard_FX2mds_v2","linux","current","Standard_FX2mds_v2","KEEP","Standard_FX2mds_v2","keep","Yes","0.2614","0.2614","0.2614","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardFXmsv2Family","Standard_FX2ms_v2","linux","current","Standard_FX2ms_v2","KEEP","Standard_FX2ms_v2","keep","Yes","0.2114","0.2114","0.2114","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardGFamily","Standard_G1","linux","retirementAnnounced","Standard_E4_v5","RETIREMENT_MIGRATION","","no-compatible-replacement","No","0.3326","0.2243","","GBP","No compatible replacement found"
"uksouth","standardGSFamily","Standard_GS1","linux","retirementAnnounced","Standard_E4s_v5","RETIREMENT_MIGRATION","","no-compatible-replacement","No","0.3326","0.2243","","GBP","No compatible replacement found"
"uksouth","standardHBv3Family","Standard_HB120rs_v3","linux","current","Standard_HB120rs_v3","KEEP","Standard_HB120rs_v3","keep","Yes","3.4092","3.4092","3.4092","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardLaosv4Family","Standard_L2aos_v4","linux","current","Standard_L2as_v4","COST_OPTIMIZATION","Standard_L2as_v4","cost-optimization","Yes","0.1992","0.1515","0.1515","GBP","Cost optimization: 23.9% cheaper with equivalent capabilities"
"uksouth","standardLASv3Family","Standard_L8as_v3","linux","previousGeneration","Standard_L8as_v3","KEEP","Standard_L8as_v3","keep","Yes","0.5485","0.5485","0.5485","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardLasv4Family","Standard_L2as_v4","linux","current","Standard_L2as_v4","KEEP","Standard_L2as_v4","keep","Yes","0.1515","0.1515","0.1515","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardLSFamily","Standard_L4s","linux","retirementAnnounced","Standard_L4s_v4","RETIREMENT_MIGRATION","Standard_L8s_v3","eol-migration","No","0.2743","0.3061","0.6121","GBP","EOL migration: cheapest compatible replacement"
"uksouth","standardLSv2Family","Standard_L8s_v2","linux","retirementAnnounced","Standard_L8as_v3","RETIREMENT_MIGRATION","Standard_L8as_v3","eol-migration","Yes","0.5485","0.5485","0.5485","GBP","EOL migration: cheapest compatible replacement"
"uksouth","standardLSv3Family","Standard_L8s_v3","linux","previousGeneration","Standard_L8s_v3","KEEP","Standard_L8s_v3","keep","Yes","0.6121","0.6121","0.6121","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardLsv4Family","Standard_L2s_v4","linux","current","Standard_L2s_v4","KEEP","Standard_L2s_v4","keep","Yes","0.153","0.153","0.153","GBP","Keep current VM: supported and no cheaper compatible replacement"
