"Region","Source VM","OS","CPU policy","Status","Recommended VM","Source hourly","Recommended hourly","Monthly saving","Saving %","Currency","Confidence","Explanation"
"uksouth","Standard_D48ps_v6","linux","same-vendor","recommended","Standard_D48pds_v6","1.4728","1.9236","-329.084","-30.608365","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 30.6% higher PAYG price."
"uksouth","Standard_D48ps_v6","linux","prefer-same-vendor","recommended","Standard_D48pds_v6","1.4728","1.9236","-329.084","-30.608365","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 30.6% higher PAYG price."
"uksouth","Standard_D48ps_v6","linux","any-compatible","recommended","Standard_D48pds_v6","1.4728","1.9236","-329.084","-30.608365","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 30.6% higher PAYG price."
"uksouth","Standard_D48s_v3","linux","same-vendor","source-price-missing","Standard_D48ds_v4","","2.3819","","","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and candidate has a usable regional PAYG price, but the source PAYG price is unavailable."
"uksouth","Standard_D48s_v3","linux","prefer-same-vendor","source-price-missing","Standard_D48ds_v4","","2.3819","","","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and candidate has a usable regional PAYG price, but the source PAYG price is unavailable."
"uksouth","Standard_D48s_v3","linux","any-compatible","source-price-missing","Standard_D48ds_v4","","2.3819","","","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and candidate has a usable regional PAYG price, but the source PAYG price is unavailable."
"uksouth","Standard_D48s_v4","linux","same-vendor","recommended","Standard_D48as_v6","2.0183","1.9198","71.905","4.880345","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 4.9% lower PAYG price."
"uksouth","Standard_D48s_v4","linux","prefer-same-vendor","recommended","Standard_D48as_v6","2.0183","1.9198","71.905","4.880345","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 4.9% lower PAYG price."
"uksouth","Standard_D48s_v4","linux","any-compatible","recommended","Standard_D48as_v6","2.0183","1.9198","71.905","4.880345","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 4.9% lower PAYG price."
"uksouth","Standard_D48s_v5","linux","same-vendor","recommended","Standard_D64s_v5","2.0183","2.691","-491.071","-33.33003","GBP","Medium","required usable CPU and memory preserved, Intel/x64 preserved, Premium SSD supported and 33.3% higher PAYG price."
"uksouth","Standard_D48s_v5","linux","prefer-same-vendor","recommended","Standard_D48as_v6","2.0183","1.9198","71.905","4.880345","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 4.9% lower PAYG price."
"uksouth","Standard_D48s_v5","linux","any-compatible","recommended","Standard_D48as_v6","2.0183","1.9198","71.905","4.880345","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 4.9% lower PAYG price."
